npn,municipio,direccion,ficha
050880100110600010031901010112,BELLO,CR 43 N 25-35 PA 138,400118387
050880100110600010031901010114,BELLO,CR 43 N 25-35 PA 140,400118389
050880100110600010031901010116,BELLO,CR 43 N 25-35 PA 142,400118391
050880100110600010031901010117,BELLO,CR 43 N 25-35 PA 143,400118392
050880100110600010031901010145,BELLO,CR 43 N 25-35 PA MT 19 PI 98 TO 1,400118420
050880100110600010031901010146,BELLO,CR 43 N 25-35 PA MT 20 PI 98 TO 1,400118421
050880100110600010031901010166,BELLO,CR 43 N 25-35 PA MT 40 PI 99 TO 1,400118441
050880100110600010031901010167,BELLO,CR 43 N 25-35 PA MT 41 PI 99 TO 1,400118442
050880100110600010031901010174,BELLO,CR 43 N 25-35 PA MT 48 PI 99 TO 1,400118449
050880100110600010031901010176,BELLO,CR 43 N 25-35 PA MT 50 PI 99 TO 1,400118451
050880100110600010031901010243,BELLO,CR 43 N 25-35 AP 9910 PI 99 TO 1,400118518
050880100110600010031901010246,BELLO,CR 43 N 25-35 AP 107,400118521
050880100110600010031901020208,BELLO,CR 43 N 25-35 PA MT 82,400118483
050880100110600010031901020209,BELLO,CR 43 N 25-35 PA MT 83,400118484
050880100110600010031901020210,BELLO,CR 43 N 25-35 PA MT 84,400118485
050880100110600010031901020250,BELLO,CR 43 N 25-35 AP 205,400118525
050880100110600010031901020251,BELLO,CR 43 N 25-35 AP 206,400118526
050880100110600010031901020253,BELLO,CR 43 N 25-35 AP 208,400118528
050880100110600010031901020254,BELLO,CR 43 N 25-35 AP 209,400118529
050880100110600010031901040270,BELLO,CR 43 N 25-35 AP 409 PI 4 TO 1,400118545
050880100070301070035000000000,BELLO,AV 47A N 67-51,3259551
050790001000000010037000000000,BARBOSA,S.N.,3007450
050790001000000010037000000000,BARBOSA,S.N.,3007450
050880100110500180015000000000,BELLO,CL 43B N 30CC-06,3217000
050790001000000010037000000000,BARBOSA,S.N.,3007450
050790001000000010038000000000,BARBOSA,S.N.,3007451
050880100110600010031901060284,BELLO,CR 43 N 25-35 AP 602 PI 6 TO 1,400118559
050880100110600010031901060285,BELLO,CR 43 N 25-35 AP 603 PI 6 TO 1,400118560
050880100110600010031901060288,BELLO,CR 43 N 25-35 AP 606 PI 6 TO 1,400118563
050880100110600010031901090317,BELLO,CR 43 N 25-35 AP 902 PI 9 TO 1,400118592
050880100100400250028901020003,BELLO,AV 36D N 45-103 AP 301,259388
050880100100600040004000000000,BELLO,CL 37 N 43-61,3316214
050880100110500230016000000000,BELLO,CL 31 N 44-23/25/27,3217235
050790001000000010042000000000,BARBOSA,VILLA BLANCA,3007455
050790001000000010042000000000,BARBOSA,VILLA BLANCA,3007455
050790001000000120040000000000,BARBOSA,LA QUIEBRA,12109674
050790001000000010042000000000,BARBOSA,VILLA BLANCA,3007455
050790001000000010044000000000,BARBOSA,S.N.,3007457
053800100001000020001000000000,LA ESTRELLA,CL 82S N 56-02/08/14/20,13702100
050880100110600010031901090319,BELLO,CR 43 N 25-35 AP 904 PI 9 TO 1,400118594
050880100110600010031901090323,BELLO,CR 43 N 25-35 AP 908 PI 9 TO 1,400118598
050880100110600010031901100327,BELLO,CR 43 N 25-35 AP 1001 PI 10 TO 1,400118602
052120001000000140493000000000,COPACABANA,PARCELACION SANTANA 11 LO,8123396
052120001000000140551000000000,COPACABANA,SANTANA 1 LO 21,8124632
052120001000000140586000000000,COPACABANA,SANTANA 1 LO 58,8124667
050880100110600010031901100329,BELLO,CR 43 N 25-35 AP 1003 PI 10 TO 1,400118604
050880100110600010031901100330,BELLO,CR 43 N 25-35 AP 1004 PI 10 TO 1,400118605
050880100110600010031901100331,BELLO,CR 43 N 25-35 AP 1005 PI 10 TO 1,400118606
050880100110600010031901100336,BELLO,CR 43 N 25-35 AP 1010 PI 10 TO 1,400118611
050880100110600010031901120357,BELLO,CR 43 N 25-35 AP 1209 PI 12 TO 1,400118632
050880100110600010031901120358,BELLO,CR 43 N 25-35 AP 1210 PI 12 TO 1,400118633
050880100110600010031901130362,BELLO,CR 43 N 25-35 AP 1303 PI 13 TO 1,400118637
050880100110600010031901130367,BELLO,CR 43 N 25-35 AP 1308 PI 13 TO 1,400118642
050790001000000010045000000000,BARBOSA,S.N.,3007458
050790001000000010046000000000,BARBOSA,MANANTIAL,3007459
050790001000000010046000000000,BARBOSA,MANANTIAL,3007459
050790001000000010046000000000,BARBOSA,MANANTIAL,3007459
050790001000000010047000000000,BARBOSA,S.N.,3007460
050790001000000010047000000000,BARBOSA,S.N.,3007460
050880100110600010031901150382,BELLO,CR 43 N 25-35 AP 1501 PI 15 TO 1,400118657
050880100110600010031901150386,BELLO,CR 43 N 25-35 AP 1505 PI 15 TO 1,400118661
050880100110600010031901160401,BELLO,CR 43 N 25-35 AP 1609 PI 16 TO 1,400118676
050790003000000090070500001001,BARBOSA,,3007368
050790001000000010047000000000,BARBOSA,S.N.,3007460
050790001000000010049000000000,BARBOSA,S.N.,3007462
050790001000000010049000000000,BARBOSA,S.N.,3007462
050790001000000010050000000000,BARBOSA,EL MIRADOR,3007463
050790001000000010051000000000,BARBOSA,LOS CANTARES,3007464
050790001000000010051000000000,BARBOSA,LOS CANTARES,3007464
050790001000000010052000000000,BARBOSA,MANANTIALES,3007465
050790001000000010053000000000,BARBOSA,CANTA RANA,3007466
050790001000000010053000000000,BARBOSA,CANTA RANA,3007466
050790001000000010054000000000,BARBOSA,VILLA ENANO,3007467
050790001000000010054000000000,BARBOSA,VILLA ENANO,3007467
050790001000000010054000000000,BARBOSA,VILLA ENANO,3007467
050790001000000010054000000000,BARBOSA,VILLA ENANO,3007467
050790001000000010055000000000,BARBOSA,MANANTIALES,3007468
050790001000000010056000000000,BARBOSA,S.N.,3007469
050880100110600010031901170409,BELLO,CR 43 N 25-35 AP 1706 PI 17 TO 1,400118684
050880100110600010031901170410,BELLO,CR 43 N 25-35 AP 1707 PI 17 TO 1,400118685
050790001000000010056000000000,BARBOSA,S.N.,3007469
050790001000000010056000000000,BARBOSA,S.N.,3007469
050790001000000010057000000000,BARBOSA,MI TERRONCITO,3007470
050790001000000010059000000000,BARBOSA,LA GABRIELA,3007472
050790001000000010060000000000,BARBOSA,S.N.,3007473
050790001000000010060000000000,BARBOSA,S.N.,3007473
050790001000000010061000000000,BARBOSA,S.N.,3007474
050790001000000010061000000000,BARBOSA,S.N.,3007474
050790001000000010062000000000,BARBOSA,ROMANCES,3007475
050790001000000010062000000000,BARBOSA,ROMANCES,3007475
050880100110600010031901180415,BELLO,CR 43 N 25-35 AP 1801 PI 18 TO 1,400118690
050790001000000010066000000000,BARBOSA,S.N.,3007479
050790001000000010067000000000,BARBOSA,S.N.,3007480
050790001000000010068000000000,BARBOSA,LOS NARANJOS,3007481
050790001000000010070000000000,BARBOSA,LA ESPERANZA,3007487
050790001000000010071000000000,BARBOSA,LA ILUSION,3007488
050790001000000010072000000000,BARBOSA,S.N.,3007489
050790001000000010074000000000,BARBOSA,LA ESPERANZA,3007491
050790001000000010075000000000,BARBOSA,GIRASOLES,3007492
050790001000000010075000000000,BARBOSA,GIRASOLES,3007492
050790001000000130001000000000,BARBOSA,VDA TAMBORCITO CALLE 3,3012007
050790001000000010076000000000,BARBOSA,S.N.,3007493
050790001000000010077000000000,BARBOSA,S.N.,3007494
050790001000000010077000000000,BARBOSA,S.N.,3007494
050880100110600010031901180416,BELLO,CR 43 N 25-35 AP 1802 PI 18 TO 1,400118691
050880100110600010031901180423,BELLO,CR 43 N 25-35 AP 1809 PI 18 TO 1,400118698
050880100110600010031901180424,BELLO,CR 43 N 25-35 AP 1810 PI 18 TO 1,400118699
050880100110600010031901190426,BELLO,CR 43 N 25-35 AP 1901 PI 19 TO 1,400118701
050880100110600010031901190436,BELLO,CR 43 N 25-35 AP 1911 PI 19 TO 1,400118711
050880100110600010031901200437,BELLO,CR 43 N 25-35 AP 2001 PI 20 TO 1,400118712
050880100110600010031901210449,BELLO,CR 43 N 25-35 AP 2102 PI 21 TO 1,400118724
